mode,route_id,o_zone_id,d_zone_id,unique_route_id,prob,node_ids,link_ids,distance_mile,total_distance_km,total_free_flow_travel_time,total_travel_time,route_key,volume
1,0,1,2,1,1,1;2,1,6,9.654,6,6.00122,3_1,100
1,0,1,3,1,1,1;3,2,4,6.436,4,4.00985,4_2,100
1,0,1,4,1,1,1;3;4,2;6,8,12.872,8,8.35394,8_8,500
1,0,1,5,1,1,1;3;4;5,2;6;9,10,16.09,10,10.7215,13_17,200
1,0,1,6,1,1,1;2;6,1;4,11,17.699,11,12.6793,9_5,300
1,1,1,7,2,0.0083645,1;3;4;5;9;8;7,2;6;9;13;24;20,28,45.052,28,42.9422,37_74,4.18225
1,0,1,7,1,0.991636,1;2;6;8;7,1;4;16;20,16,25.744,16,32.7175,24_41,495.818
1,0,1,8,1,0.991636,1;2;6;8,1;4;16,13,20.917,13,26.9654,17_21,793.308
1,1,1,8,2,0.0083645,1;3;4;5;9;8,2;6;9;13;24,25,40.225,25,37.1902,30_54,6.6916
1,0,1,9,1,1,1;3;4;5;9,2;6;9;13,15,24.135,15,21.2603,22_30,500
1,0,1,10,1,0.987605,1;3;4;5;9;10,2;6;9;13;25,18,28.962,18,27.2234,32_55,1283.89
1,5,1,10,2,0.0123949,1;3;12;11;10,2;7;36;32,19,30.571,19,33.9708,37_77,16.1133
1,0,1,11,1,0.970447,1;3;4;11,2;6;10,14,22.526,14,16.1736,19_18,485.224
1,2,1,11,2,0.0295528,1;3;12;11,2;7;36,14,22.526,14,21.7856,27_45,14.7764
1,0,1,12,1,1,1;3;12,2;7,8,12.872,8,8.03872,16_9,200
1,0,1,13,1,1,1;3;12;13,2;7;37,11,17.699,11,11.0729,29_46,500
1,0,1,14,1,0.908612,1;3;4;11;14,2;6;10;34,18,28.962,18,29.2111,33_52,272.584
1,1,1,14,2,0.0707573,1;3;12;13;24;23;14,2;7;37;39;76;71,21,33.789,21,40.9643,90_232,21.2272
1,3,1,14,3,0.0206307,1;3;12;11;14,2;7;36;34,18,28.962,18,34.8231,41_79,6.18921
1,0,1,15,1,0.124512,1;3;4;11;14;15,2;6;10;34;41,23,37.007,23,41.2183,48_93,62.2561
1,1,1,15,2,0.863093,1;3;4;5;9;10;15,2;6;9;13;25;28,24,38.616,24,41.0377,47_83,431.546
1,5,1,15,3,0.0123949,1;3;12;11;10;15,2;7;36;32;28,25,40.225,25,47.7851,52_105,6.19744
1,2,1,16,3,0.0787284,1;2;6;8;7;18;16,1;4;16;20;18;55,21,33.789,21,37.9808,58_114,39.3642
1,0,1,16,1,0.912907,1;2;6;8;16,1;4;16;22,18,28.962,18,37.6219,33_43,456.454
1,1,1,16,2,0.0083645,1;3;4;5;9;8;7;18;16,2;6;9;13;24;20;18;55,33,53.097,33,48.2056,71_147,4.18225
1,0,1,17,1,0.0855766,1;2;6;8;16;17,1;4;16;22;49,20,32.18,20,46.0356,50_92,34.2306
1,1,1,17,2,0.914423,1;3;4;5;9;10;17,2;6;9;13;25;30,26,41.834,26,45.0666,49_85,365.769
1,0,1,18,1,0.9834,1;2;6;8;7;18,1;4;16;20;18,18,28.962,18,34.7752,42_59,98.34
1,1,1,18,2,0.0083645,1;3;4;5;9;8;7;18,2;6;9;13;24;20;18,30,48.27,30,45,55_92,0.83645
1,3,1,18,3,0.00823581,1;2;6;8;16;18,1;4;16;22;50,21,33.789,21,40.8562,51_93,0.823581
1,1,1,19,2,0.863093,1;3;4;5;9;10;15;19,2;6;9;13;25;28;45,27,43.443,27,45.2165,66_128,258.928
1,0,1,19,1,0.0184019,1;2;6;8;16;17;19,1;4;16;22;49;53,22,35.398,22,53.5799,69_145,5.52057
1,5,1,19,3,0.0123949,1;3;12;11;10;15;19,2;7;36;32;28;45,28,45.052,28,51.9639,71_150,3.71846
1,11,1,19,4,0.10611,1;3;4;11;14;15;19,2;6;10;34;41;45,26,41.834,26,45.3971,67_138,31.8331
1,0,1,20,1,0.9834,1;2;6;8;7;18;20,1;4;16;20;18;56,22,35.398,22,39.0717,62_115,295.02
1,3,1,20,3,0.00823581,1;2;6;8;16;18;20,1;4;16;22;50;56,25,40.225,25,45.1527,71_149,2.47074
1,1,1,20,2,0.0083645,1;3;4;5;9;10;15;19;20,2;6;9;13;25;28;45;59,31,49.879,31,54.9962,86_187,2.50935
1,0,1,21,1,0.991636,1;3;12;13;24;21,2;7;37;39;75,18,28.962,18,38.8973,74_160,99.1636
1,1,1,21,2,0.0083645,1;3;4;5;9;10;15;19;20;21,2;6;9;13;25;28;45;59;62,37,59.533,37,63.8264,107_249,0.83645
1,0,1,22,1,0.619521,1;3;12;13;24;21;22,2;7;37;39;75;65,20,32.18,20,43.4634,96_225,247.809
1,1,1,22,2,0.380479,1;3;12;13;24;23;22,2;7;37;39;76;72,21,33.789,21,44.1298,98_233,152.191
1,0,1,23,1,1,1;3;12;13;24;23,2;7;37;39;76,17,27.353,17,32.0884,76_161,300
1,0,1,24,1,1,1;3;12;13;24,2;7;37;39,15,24.135,15,28.2142,53_85,100
1,0,2,1,1,1,2;1,3,6,9.654,6,6.00106,3_3,100
1,0,2,3,1,1,2;1;3,3;2,10,16.09,10,10.0109,6_5,100
1,0,2,4,1,0.0184019,2;6;5;4,4;15;11,11,17.699,11,18.8597,17_30,3.68038
1,1,2,4,2,0.981598,2;1;3;4,3;2;6,14,22.526,14,14.355,10_11,196.32
1,0,2,5,1,0.696282,2;6;5,4;15,9,14.481,9,16.4987,13_19,69.6282
1,1,2,5,2,0.303718,2;1;3;4;5,3;2;6;9,16,25.744,16,16.7226,15_20,30.3718
1,0,2,6,1,1,2;6,4,5,8.045,5,6.67805,8_4,400
1,0,2,7,1,0.991636,2;6;8;7,4;16;20,10,16.09,10,26.7163,23_40,198.327
1,1,2,7,2,0.0083645,2;1;3;4;5;9;8;7,3;2;6;9;13;24;20,34,54.706,34,48.9433,39_77,1.6729
1,0,2,8,1,0.991636,2;6;8,4;16,7,11.263,7,20.9642,16_20,396.654
1,1,2,8,2,0.0083645,2;1;3;4;5;9;8,3;2;6;9;13;24,31,49.879,31,43.1913,32_57,3.3458
1,0,2,9,1,0.696282,2;6;5;9,4;15;13,14,22.526,14,27.0374,22_32,139.256
1,1,2,9,2,0.303718,2;1;3;4;5;9,3;2;6;9;13,21,33.789,21,27.2613,24_33,60.7436
1,2,2,10,3,0.665485,2;6;5;9;10,4;15;13;25,17,27.353,17,33.0006,32_57,399.291
1,0,2,10,1,0.0184019,2;6;8;16;10,4;16;22;48,16,25.744,16,52.9469,42_90,11.0411
1,5,2,10,4,0.0123949,2;1;3;12;11;10,3;2;7;36;32,25,40.225,25,39.9719,39_80,7.43692
1,1,2,10,2,0.303718,2;1;3;4;5;9;10,3;2;6;9;13;25,24,38.616,24,33.2245,34_58,182.231
1,0,2,11,1,0.0184019,2;6;5;4;11,4;15;11;10,17,27.353,17,26.6794,28_40,3.68038
1,1,2,11,2,0.952045,2;1;3;4;11,3;2;6;10,20,32.18,20,22.1747,21_21,190.409
1,2,2,11,3,0.0295528,2;1;3;12;11,3;2;7;36,20,32.18,20,27.7867,29_48,5.91056
1,0,2,12,1,1,2;1;3;12,3;2;7,14,22.526,14,14.0398,18_12,100
1,0,2,13,1,1,2;1;3;12;13,3;2;7;37,17,27.353,17,17.0739,31_49,300
1,3,2,14,3,0.0206307,2;1;3;12;11;14,3;2;7;36;34,24,38.616,24,40.8242,43_82,2.06307
1,0,2,14,1,0.0184019,2;6;5;4;11;14,4;15;11;10;34,21,33.789,21,39.7169,42_74,1.84019
